C000001LEFEBVRE            JEAN                PARIS               PRO       
C000002DURAND              SOPHIE              MARSEILLE           STANDARD  
C000003LEFEBVRE            MANON               LYON                JEUNE     
C000004DUPONT              MARIE               LYON                PREMIUM   
C000005DURAND              HUGO                PARIS               PREMIUM   
C000006MICHEL              JULIEN              BORDEAUX            PREMIUM   
C000007MOREAU              CLARA               LILLE               STANDARD  
C000008GARCIA              ANTOINE             MARSEILLE           JEUNE     
C000009ROBERT              LUCAS               MARSEILLE           PREMIUM   
C000010GARCIA              CAMILLE             LYON                STANDARD  
C000011RICHARD             JEAN                TOULOUSE            PRO       
C000012LAURENT             LUCAS               PARIS               JEUNE     
C000013SIMON               JEAN                BORDEAUX            STANDARD  
C000014SIMON               LUCAS               TOULOUSE            PREMIUM   
C000015MICHEL              JEAN                PARIS               PREMIUM   
C000016GARCIA              LUCAS               LYON                PREMIUM   
C000017DAVID               JEAN                BORDEAUX            PRO       
C000018MOREAU              JULIEN              TOULOUSE            PREMIUM   
C000019ROBERT              CAMILLE             NANTES              PRO       
C000020MICHEL              MAXIME              LYON                PREMIUM   
C000021SIMON               MANON               NANTES              PREMIUM   
C000022MOREAU              THOMAS              LILLE               PREMIUM   
C000023LEFEBVRE            CAMILLE             PARIS               PREMIUM   
C000024DAVID               MARIE               TOULOUSE            JEUNE     
C000025PETIT               JEAN                NANTES              PRO       
C000026DURAND              JULIEN              MONTPELLIER         JEUNE     
C000027BERTRAND            MAXIME              MONTPELLIER         PREMIUM   
C000028PETIT               NICOLAS             NANTES              PRO       
C000029MICHEL              CLARA               BORDEAUX            JEUNE     
C000030ROBERT              SOPHIE              MARSEILLE           JEUNE     
C000031MARTIN              ANTOINE             PARIS               STANDARD  
C000032BERNARD             JULIEN              MARSEILLE           JEUNE     
C000033LAURENT             JEAN                BORDEAUX            JEUNE     
C000034LAURENT             EMMA                LILLE               STANDARD  
C000035LEFEBVRE            MANON               LYON                PRO       
C000036GARCIA              JULIEN              TOULOUSE            STANDARD  
C000037PETIT               THOMAS              MARSEILLE           JEUNE     
C000038DUPONT              MANON               LILLE               PREMIUM   
C000039SIMON               MAXIME              LYON                PRO       
C000040DAVID               JULIEN              NANTES              PREMIUM   
C000041ROBERT              ANTOINE             MARSEILLE           STANDARD  
C000042LAURENT             CAMILLE             MONTPELLIER         STANDARD  
C000043MARTIN              MAXIME              TOULOUSE            PRO       
C000044DURAND              MARIE               NANTES              STANDARD  
C000045MARTIN              MANON               MONTPELLIER         STANDARD  
C000046GARCIA              HUGO                MARSEILLE           PREMIUM   
C000047LEFEBVRE            EMMA                MARSEILLE           PRO       
C000048SIMON               LEA                 BORDEAUX            PREMIUM   
C000049BERTRAND            HUGO                NANTES              PRO       
C000050RICHARD             JULIEN              TOULOUSE            JEUNE     
