0000000001C000034COURANT   0000037937920240713
0000000002C000005COURANT   0000088658020231124
0000000003C000015COURANT   0000011578020230328
0000000004C000041COURANT   0000011042620220501
0000000005C000003COURANT   0000077609320231108
0000000006C000018COURANT   0000081345920240921
0000000007C000047EPARGNE   0000037206620250315
0000000008C000031COURANT   0000015054520240413
0000000009C000043EPARGNE   0000064113220240601
0000000010C000030COURANT   0000010031320220421
0000000011C000047COURANT   0000038049820231126
0000000012C000013EPARGNE   0000021887220250103
0000000013C000012EPARGNE   0000038221220230725
0000000014C000005COURANT   0000008537720240626
0000000015C000035COURANT   0000139028720220131
0000000016C000016EPARGNE   0000073360520221207
0000000017C000014COURANT   0000025530920240401
0000000018C000001EPARGNE   0000139051220240310
0000000019C000030EPARGNE   0000104792120230808
0000000020C000047EPARGNE   0000024064720250212
0000000021C000019COURANT   0000087297920230322
0000000022C000035EPARGNE   0000009517620220505
0000000023C000038COURANT   0000009475120240903
0000000024C000033COURANT   0000011209720220614
0000000025C000005EPARGNE   0000018863120230427
0000000026C000037COURANT   0000093287820230520
0000000027C000027EPARGNE   0000140271220250410
0000000028C000014COURANT   0000040576620231006
0000000029C000009EPARGNE   0000048110420230907
0000000030C000049COURANT   0000069284520220529
0000000031C000037COURANT   0000081107520220724
0000000032C000033COURANT   0000140055620230628
0000000033C000005EPARGNE   0000043463120230516
0000000034C000029EPARGNE   0000092140020250117
0000000035C000042COURANT   0000100511620241219
0000000036C000036COURANT   0000140900620230906
0000000037C000009COURANT   0000133567220230626
0000000038C000048COURANT   0000041579920250207
0000000039C000039EPARGNE   0000031336020230308
0000000040C000041EPARGNE   0000038417120230625
0000000041C000004EPARGNE   0000124572920220709
0000000042C000003EPARGNE   0000115896820220108
0000000043C000041COURANT   0000111443420230621
0000000044C000036COURANT   0000017669220240525
0000000045C000045COURANT   0000125354720221102
0000000046C000038COURANT   0000065038220250205
0000000047C000003EPARGNE   0000134948220230924
0000000048C000003COURANT   0000102627920240103
0000000049C000043EPARGNE   0000117237320220730
0000000050C000027COURANT   0000129826220221113
0000000051C000012COURANT   0000027724720240424
0000000052C000022COURANT   0000040754120240423
0000000053C000045EPARGNE   0000130952920220810
0000000054C000031COURANT   0000122671420230401
0000000055C000030EPARGNE   0000123259920231218
0000000056C000015COURANT   0000099344920230402
0000000057C000026EPARGNE   0000129788620231104
0000000058C000050EPARGNE   0000096580820230726
0000000059C000026EPARGNE   0000140946320250103
0000000060C000008COURANT   0000087507920230619
0000000061C000017COURANT   0000089889120220320
0000000062C000023EPARGNE   0000091325120231005
0000000063C000033EPARGNE   0000135026220220825
0000000064C000013COURANT   0000106609020230606
0000000065C000001COURANT   0000055269020241130
0000000066C000005EPARGNE   0000099844720231108
0000000067C000008EPARGNE   0000100367020230908
0000000068C000021EPARGNE   0000083607520240404
0000000069C000013EPARGNE   0000101920420240511
0000000070C000012EPARGNE   0000061505220250311
0000000071C000001EPARGNE   0000032317220230915
0000000072C000038EPARGNE   0000066826120231022
0000000073C000044EPARGNE   0000119266620230314
0000000074C000048COURANT   0000043284220221214
0000000075C000043COURANT   0000122945120231118
0000000076C000049EPARGNE   0000034471520230427
0000000077C000013COURANT   0000007885820221029
0000000078C000031EPARGNE   0000062751720220530
0000000079C000041COURANT   0000108033520250324
0000000080C000025EPARGNE   0000037353720241009
